## "Pinares Venecia" [Trr] PO09-PO05-PO06
- torcaz
- 12 estorinos
- 4 gorriones (gorrión con material para nido, 2a puesta)
- 6 vencejos
- 1 golondrina
- 2 palomas bravias

[No. Primero quiero que repartas las citas entre PO09-PO05-PO06 y luego genera un CSV sólo de las 3 posiciones](https://chatgpt.com/share/68c6e254-fd5c-800d-9f32-63bf3812f019)

Posición,Nombre común,Nombre latin,Valor,Número
PO05,Golondrina,Hirundo rustica,>25,1
PO05,Estorninos,Sturnus vulgaris,>25,7
PO05,Gorriones,Passer domesticus,<25,2
PO06,Vencejos,Apus apus,>25,3
PO06,Estorninos,Sturnus vulgaris,>25,5
PO06,Palomas bravías,Columbia livia,>25,2
PO09,Torcaz,Columba palumbus,>25,1
PO09,Vencejos,Apus apus,>25,3
PO09,Gorriones,Passer domesticus,<25,2

Audio de WhatsApp 
----
2025-06-15 a las 06.50.08_079376af


## "Pinares Venecia" [Trr] PO01 
- 5 torcaces
- 5 livia
- 1 estornino
- 4 turcas

Audio de WhatsApp 
----
2025-06-15 a las 06.53.55_86584d36


## PO03 [Trr] Cruce crta. atracciones-pista Torrero

- verdecillo
- 3 verderones
- 3 torcaces
- 3 urracas
- 1 turca
- 1 patiamarilla

Audio de WhatsApp 
----
2025-06-15 a las 06.57.26_0a5daed5


## PO03 bis [Trr]
- jilguero
- 2 gorriones
- 1 golondrina
- 1 torcaz
- 1 verderón

Audio de WhatsApp 
----
2025-06-15 a las 07.02.43_c70d109a


## PO02 [Trr]
- 1 verdecillo
- 1 verderón
- 1 jilguero 
- 2 reyezuelos
- 2 estorninos
- 1 torcaz
- 1 pinzón
- 4 gorriones
- 3 pardillos


Audio de WhatsApp 
----
2025-06-15 a las 07.07.39_32e857de

## PO01-4 [Trr]
- 16 torcaces
- 9 livia
- 2 estorninos
- milano negro
- 16 vencejos
- 2 turca
Audio de WhatsApp
---- 
2025-06-15 a las 07.13.00_1c8dc2fb

Posición,Nombre común,Nombre latin,Número,Valor
PO01,Estornino pinto,Sturnus vulgaris,2,<25
PO01,Paloma bravía,Columba livia,14,>25
PO01,Paloma torcaz,Columba palumbus,14,>25
PO01,Tórtola turca,Streptopelia decaocto,6,<25
PO02,Estornino pinto,Sturnus vulgaris,3,<25
PO02,Gorrión común,Passer domesticus,4,<25
PO02,Jilguero europeo,Carduelis carduelis,1,<25
PO02,Paloma torcaz,Columba palumbus,3,>25
PO02,Verdecillo,Serinus serinus,1,<25
PO02,Verderón común,Chloris chloris,1,<25
PO02,Pinzón vulgar,Fringilla coelebs,1,<25
PO02,Reyezuelo listado,Regulus ignicapillus,2,<25
PO02,Pardillo común,Linaria cannabina,3,<25
PO03,Golondrina común,Hirundo rustica,1,>25
PO03,Gorrión común,Passer domesticus,2,<25
PO03,Jilguero europeo,Carduelis carduelis,1,<25
PO03,Paloma torcaz,Columba palumbus,9,>25
PO03,Tórtola turca,Streptopelia decaocto,1,<25
PO03,Urraca común,Pica pica,3,<25
PO03,Verdecillo,Serinus serinus,1,<25
PO03,Verderón común,Chloris chloris,4,<25
PO03,Gaviota patiamarilla,Larus michahellis,1,<25
PO04,Vencejo común,Apus apus,16,>25
PO04,Milano negro,Milvus migrans,1,>25
PO05,Golondrina,Hirundo rustica,>25,1
PO05,Estorninos,Sturnus vulgaris,>25,7
PO05,Gorriones,Passer domesticus,<25,2
PO06,Vencejos,Apus apus,>25,3
PO06,Estorninos,Sturnus vulgaris,>25,5
PO06,Palomas bravías,Columbia livia,>25,2
PO07,Verdecillo,Serinus serinus,1,<25
PO07,Estornino pinto,Sturnus vulgaris,2,<25
PO07,Gorrión común,Passer domesticus,2,<25
PO08,Vencejo común,Apus apus,6,>25
PO08,Paloma bravía,Columba livia,2,>25
PO08,Estornino pinto,Sturnus vulgaris,1,<25
PO08,Avión común,Delichon urbicum,4,>25
PO09,Torcaz,Columba palumbus,>25,1
PO09,Vencejos,Apus apus,>25,3
PO09,Gorriones,Passer domesticus,<25,2
PO10,Tórtola turca,Streptopelia decaocto,1,<25
PO10,Gorrión común,Passer domesticus,2,<25
PO10,Verdecillo,Serinus serinus,1,<25
PO10,Ruiseñor bastardo,Cettia cetti,1,>25
PO10,Paloma torcaz,Columba palumbus,2,>25



## PO08 [Trr] C/ Alicante 
- 20 vencejos
- 2 livia
- 1 estornino

Reparto entre PO10 y PO07; comparar con observaciones de 20/5 y dejar el mínimo entre las dos observaciones para cada posición y si no hay una especie en la lista observada, adjuntarla
<!--## PO010 "Pinares Venecia" [Trr]
- turca
- 2 gorriones
- verdecillo
- bastardo
- 2 torcaces (Calle Jaen)
----
Audio de WhatsApp 2025-05-20 a las 08.21.51_d9e0cb4c


## PO08 Calle Alicante
- 6 vencejos
- 4 aviones

----
Audio de WhatsApp 2025-05-20 a las 08.24.38_089946ec


## PO07 Plaza Canteras
`inventario abierto`
- verdecillos
- 2 estorninos
- 2 gorriones
----
Audio de WhatsApp 2025-05-20 a las 08.29.46_31c08d2b-->
PO07 – Plaza Canteras
Posición	Nombre común	Nombre latin	Número	Valor
PO07,Verdecillo,Serinus serinus,1,<25
PO07,Estornino pinto,Sturnus vulgaris,2,<25
PO07,Gorrión común,Passer domesticus,2,<25

PO08 – Calle Alicante
Posición	Nombre común	Nombre latin	Número	Valor
PO08,Vencejo común,Apus apus,6,>25
PO08,Paloma bravía,Columba livia,2,>25
PO08,Estornino pinto,Sturnus vulgaris,1,<25
PO08,Avión común,Delichon urbicum,4,>25

PO10 – Pinares Venecia
Posición	Nombre común	Nombre latin	Número	Valor
PO10,Tórtola turca,Streptopelia decaocto	1	<25
PO10,Gorrión común,Passer domesticus	2	<25
PO10,Verdecillo,Serinus serinus	1	<25
PO10,Ruiseñor bastardo,Cettia cetti	1	>25
PO10,Paloma torcaz,Columba palumbus	2	>25
----
Posición,Nombre común,Nombre latin,Número,Valor
PO07,Verdecillo,Serinus serinus,1,<25
PO07,Estornino pinto,Sturnus vulgaris,2,<25
PO07,Gorrión común,Passer domesticus,2,<25
PO08,Vencejo común,Apus apus,6,>25
PO08,Paloma bravía,Columba livia,2,>25
